"1","1","Does your organization have an organized system of identifying and managing accounts based upon type, group membership?","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"2","1","Are access rights and privileges mapped according to job specification and group membership?","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"3","1","Describe the request/approval process for establishing a new or escalating an existing account.","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"4","1","Does your organization allow the use of guest/anonymous accounts? If so, how is guest access managed and recorded?","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"5","1","Describe the procedure for account deactivation upon employee termination. This includes the complete communication chain from human resources to the information technology employee responsible for account maintenance.","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"6","1","How often are accounts audited and aged?","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"7","1","Does your organization use multi-factor authentication for account access?","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"8","1","Who is responsible for managing/maintaining the past and current identifications used in the authentication system?","2021-11-08 22:54:31","2021-11-08 22:54:31","1"
"9","1","Do you have access agreements (formal or informal) with third parties to access your systems? How often are these agreements reviewed and updated?","2021-11-08 22:54:31","2021-11-08 22:54:31","2"
"10","1","Does your organization have a single sign-on authentication system? If so, what?","2021-11-08 22:54:31","2021-11-08 22:54:31","2"
"11","1","Does your organization have systems attached to the network, which use a different authentication system other than the organizations centralized system?","2021-11-08 22:54:31","2021-11-08 22:54:31","2"
"12","1","Does your organization have remote access to the control network? What policies and procedures are in place regarding the identification/authentication/authorization and monitoring of such access? How are these events audited?","2021-11-08 22:54:31","2021-11-08 22:54:31","2"
"13","1","Does your organization have specific policies and procedures in regards to the procurement and use of cloud-based external system services?","2021-11-08 22:54:31","2021-11-08 22:54:31","2"
"14","1","Do you have a log management plan and system?","2021-11-08 22:54:31","2021-11-08 22:54:31","3"
"15","1","Describe the process and frequency at which log files are audited and reported.","2021-11-08 22:54:31","2021-11-08 22:54:31","3"
"16","1","Who is responsible for the auditing and accountability process? To whom are the reports on auditable events submitted? Are these reports coordinated with any other organizational events?","2021-11-08 22:54:31","2021-11-08 22:54:31","3"
"17","1","Does your organization implement a communications monitoring system at key internal boundaries within the network?","2021-11-08 22:54:31","2021-11-08 22:54:31","4"
"18","1","Describe the use of cryptographic keys and their management within your organization.","2021-11-08 22:54:31","2021-11-08 22:54:31","4"
"19","1","Describe the use of encryption and its management within your organization?","2021-11-08 22:54:31","2021-11-08 22:54:31","4"
